0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,683,132,494,184,421,700,556,508,286,296,517,747,91,240,184
2,149,814,163,543,718,882,174,502,747,241,135,742,167,68,302
3,25,211,5,749,712,790,692,813,236,604,327,566,574,469,746
4,801,342,575,420,793,70,133,301,701,24,418,24,476,96,668
5,117,760,189,152,726,670,114,602,372,435,223,138,430,311,759
6,10,117,386,693,583,279,103,547,440,256,165,650,347,261,36
7,454,792,837,496,210,151,346,798,481,166,737,257,893,814,885
8,61,465,890,450,534,27,236,404,261,268,802,240,422,898,629
9,196,698,820,851,818,318,819,493,331,577,146,429,237,416,791
10,606,162,403,757,107,496,894,364,646,563,401,528,459,304,377
11,329,492,466,524,450,198,546,127,847,773,503,244,773,327,398
12,445,705,148,708,673,812,534,1,510,605,17,804,443,658,871
13,874,456,646,6,816,835,122,205,634,180,152,494,587,667,553
14,314,469,637,131,467,545,43,349,702,499,75,785,126,617,366
15,863,380,219,732,71,136,709,839,193,57,546,628,436,739,641
16,844,53,770,802,662,342,251,213,10,167,431,667,306,21,172
17,593,365,52,881,391,378,287,164,758,468,832,245,61,180,304
18,344,372,73,116,186,373,137,577,245,361,360,637,445,128,587
19,78,436,230,202,457,438,438,26,71,484,739,169,844,559,716
20,134,87,710,787,628,602,500,488,731,774,530,422,611,366,841
21,634,505,9,325,389,228,729,295,604,15,755,236,48,56,527
22,820,402,528,176,643,451,328,390,35,623,30,470,325,568,688
23,297,537,80,219,135,623,301,498,2,121,550,737,316,829,480
24,151,233,590,772,205,649,56,442,838,58,420,517,250,778,97
25,698,181,483,274,788,168,744,711,743,667,611,204,679,716,379
26,486,484,313,847,707,129,92,476,841,391,334,776,887,851,400
27,104,762,444,97,105,640,389,622,817,728,91,611,241,417,615
28,408,188,515,34,246,587,549,106,630,485,834,32,555,291,616
29,544,112,886,643,801,123,407,100,679,652,2,112,520,360,66
30,561,432,120,836,295,815,118,49,732,544,847,755,396,40,763
31,655,562,81,858,739,214,486,143,522,331,251,471,900,29,355
32,855,472,579,457,832,466,805,75,514,263,352,504,45,507,570
33,211,11,295,84,110,420,695,873,839,88,455,373,823,361,285
34,309,265,374,477,773,7,59,300,393,717,758,777,515,99,289
35,578,373,445,828,889,360,376,540,768,861,343,563,495,773,859
36,51,541,656,178,272,843,773,474,320,746,466,150,547,479,47
37,657,328,383,159,764,13,731,603,618,135,871,620,66,563,28
38,127,803,745,548,346,785,61,334,200,155,198,726,601,811,538
39,348,281,55,367,162,94,771,649,249,589,487,756,98,78,891
40,769,390,755,776,330,268,850,757,867,885,880,2,390,324,364
41,837,30,497,515,163,491,474,397,431,332,437,426,152,878,708
42,283,846,546,897,852,584,3,626,29,616,496,687,223,114,334
43,848,654,276,356,649,802,897,780,142,561,118,241,840,687,634
44,310,107,240,51,463,412,140,171,271,128,80,135,772,528,557
45,1,418,634,388,453,276,409,206,858,862,579,437,673,788,894
46,161,514,48,391,181,845,683,409,683,324,839,183,148,429,10
47,273,592,29,71,282,521,344,585,58,533,768,576,323,591,198
48,128,435,317,195,682,294,595,60,852,630,869,534,60,238,8
